date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:39:42	8171/8171	U-----	200	untouched ('')	application/javascript	etag:%22dcc5449-1feb-54f7912f303c8%22	http://webable.digital/wp-content/plugins/formcraft3/assets/js/vendor/tooltip.min.js?ver=4.7.10	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/plugins/formcraft3/assets/js/vendor/tooltip.mind714.js	(from http://webable.digital/career/)
15:39:42	4000/4000	U-----	200	untouched ('')	application/javascript	etag:%22143799a-fa0-5405eff119880%22	http://webable.digital/wp-includes/js/jquery/ui/core.min.js?ver=1.11.4	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-includes/js/jquery/ui/core.mine899.js	(from http://webable.digital/career/)
15:39:42	3148/3148	U-----	200	untouched ('')	application/javascript	etag:%221437a44-c4c-5405eff119880%22	http://webable.digital/wp-includes/js/jquery/ui/mouse.min.js?ver=1.11.4	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-includes/js/jquery/ui/mouse.mine899.js	(from http://webable.digital/career/)
15:39:42	2196/2196	U--MC-	200	updated ('OK')	application/json	date:Sat,%2019%20May%202018%2009:39:49%20GMT	http://webable.digital/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwebable.digital%2Fcareer%2F	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-json/oembed/1.0/embedf726.json	(from http://webable.digital/career/)
15:39:42	57030/57030	U-----	200	untouched ('')	application/javascript	etag:%22dcc5474-dec6-54f7912f3a2ed%22	http://webable.digital/wp-content/plugins/formcraft3/assets/js/form.min.js?ver=3.2.26	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/plugins/formcraft3/assets/js/form.min2c74.js	(from http://webable.digital/career/)
15:39:43	4321/4321	U-----	200	untouched ('')	application/javascript	etag:%22dcc543c-10e1-54f7912f2cee9%22	http://webable.digital/wp-content/plugins/formcraft3/assets/js/vendor/toastr.min.js?ver=4.7.10	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/plugins/formcraft3/assets/js/vendor/toastr.mind714.js	(from http://webable.digital/career/)
15:39:43	3910/3910	U-----	200	untouched ('')	application/javascript	etag:%224e3ca52-f46-54f794a86067d%22	http://webable.digital/wp-content/plugins/formcraft-multi-page/assets/form-multi-page.js?ver=1.0.6	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/plugins/formcraft-multi-page/assets/form-multi-page0ba6.js	(from http://webable.digital/career/)
15:39:44	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sat,%2019%20May%202018%2009:39:52%20GMT	http://webable.digital/contact/%e2%80%9dhttp://webable.digital/%e2%80%9d	C:/My%20Web%20Sites/Webable%20clone/webable.digital/contact/%e2%80%9dhttp_/webable.digital/%e2%80%9d	(from http://webable.digital/contact/)
15:39:44	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sat,%2019%20May%202018%2009:39:52%20GMT	http://webable.digital/contact/%e2%80%9c//js.hs-scripts.com/504002.js%e2%80%9d	C:/My%20Web%20Sites/Webable%20clone/webable.digital/contact/%e2%80%9c/js.hs-scripts.com/504002.js%e2%80%9d	(from http://webable.digital/contact/)
15:39:45	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sat,%2019%20May%202018%2009:39:52%20GMT	http://webable.digital/?p=18	C:/My%20Web%20Sites/Webable%20clone/webable.digital/index0735.html	(from http://webable.digital/contact/)
